color_name,rus_name,hex,r,g,b,hue,sat,val,id
Golden poppy,Золотой мак,#FCC200,252,194,0,46.19047619047618,1,0.988235294117647,741
Cookies and cream,Печенье и крем,#EEE0B1,238,224,177,46.22950819672131,0.256302521008403,0.933333333333333,742
Quarter Spanish White,Четверть испанского белого,#F7F2E1,247,242,225,46.36363636363633,0.0890688259109312,0.968627450980392,743
Barley White,Ячменный белый,#FFF4CE,255,244,206,46.53061224489797,0.192156862745098,1,744
Crocodile,Крокодил,#736D58,115,109,88,46.66666666666666,0.234782608695652,0.450980392156863,745
Peat,Торф,#716B56,113,107,86,46.66666666666667,0.238938053097345,0.443137254901961,746
Bright Sun,Яркое Солнце,#FED33C,254,211,60,46.70103092783505,0.763779527559055,0.996078431372549,747
Reef Gold,Риф Голд,#9F821C,159,130,28,46.7175572519084,0.823899371069182,0.623529411764706,748
Half Dutch White,Половина голландского белого,#FEF7DE,254,247,222,46.87499999999999,0.125984251968504,0.996078431372549,749
Hokey Pokey,Хоки-поки,#C8A528,200,165,40,46.875,0.8,0.784313725490196,750
Beeswax,Пчелиный воск,#FEF2C7,254,242,199,46.90909090909089,0.216535433070866,0.996078431372549,751
Mustard,Горчица,#FFDB58,255,219,88,47.06586826347305,0.654901960784314,1,752
Lemon meringue,Лимонное безе,#F6EABE,246,234,190,47.142857142857125,0.227642276422764,0.964705882352941,753
Solitaire,Пасьянс,#FEF8E2,254,248,226,47.14285714285714,0.110236220472441,0.996078431372549,754
Sidecar,Коляска,#F3E7BB,243,231,187,47.14285714285717,0.230452674897119,0.952941176470588,755
Supernova,Сверхновая,#FFC901,255,201,1,47.24409448818898,0.996078431372549,1,756
Deep lemon,Темно-лимонный,#F5C71A,245,199,26,47.3972602739726,0.893877551020408,0.96078431372549,757
Bronzetone,Бронзовыйтон,#4D400F,77,64,15,47.41935483870967,0.805194805194805,0.301960784313725,758
Milk Punch,Молочный пунш,#FFF6D4,255,246,212,47.441860465116285,0.168627450980392,1,759
Grey Olive,Серый Оливковый,#A9A491,169,164,145,47.50000000000004,0.142011834319527,0.662745098039216,760
Gin Fizz,Джин Физз,#FFF9E2,255,249,226,47.58620689655172,0.113725490196078,1,761
Metallic yellow,Желтый металлик,#FDCC0D,253,204,13,47.75,0.948616600790514,0.992156862745098,762
Gold foil,Золотая фольга,#BD9B16,189,155,22,47.78443113772455,0.883597883597884,0.741176470588235,763
Galliano,Гальяно,#DCB20C,220,178,12,47.88461538461537,0.945454545454545,0.862745098039216,764
Philippine yellow,Филиппинский желтый,#FECB00,254,203,0,47.95275590551181,1,0.996078431372549,765
Cornsilk,Кукурузные рыльца,#FFF8DC,255,248,220,47.99999999999999,0.137254901960784,1,766
Pipi,Пипи,#FEF4CC,254,244,204,48.0,0.196850393700787,0.996078431372549,767
Sundance,Сандэнс,#C9B35B,201,179,91,48.0,0.54726368159204,0.788235294117647,768
Husk,Шелуха,#B7A458,183,164,88,48.00000000000001,0.519125683060109,0.717647058823529,769
Ironside Grey,Железно-серый,#676662,103,102,98,48.00000000000004,0.0485436893203883,0.403921568627451,770
Chicago,Чикаго,#5D5C58,93,92,88,48.00000000000004,0.053763440860215,0.364705882352941,771
Laser,Лазер,#C8B568,200,181,104,48.12500000000001,0.48,0.784313725490196,772
Dark bronze (Coin),Темная бронза (Монета),#514100,81,65,0,48.14814814814815,1,0.317647058823529,773
Yuma,Юма,#CEC291,206,194,145,48.19672131147539,0.296116504854369,0.807843137254902,774
Durian Yellow,Дуриан желтый,#E1BD27,225,189,39,48.38709677419356,0.826666666666667,0.882352941176471,775
Zombie,Зомби,#E4D69B,228,214,155,48.49315068493151,0.320175438596491,0.894117647058824,776
Buttermilk,Пахта,#FFF1B5,255,241,181,48.64864864864864,0.290196078431373,1,777
Jonquil,Жонкиль,#F4CA16,244,202,22,48.64864864864864,0.90983606557377,0.956862745098039,778
Off Yellow,Желтый,#FEF9E3,254,249,227,48.88888888888888,0.106299212598425,0.996078431372549,779
Hacienda,Гасиенда,#98811B,152,129,27,48.96,0.822368421052632,0.596078431372549,780
Golden Sand,Золотой Песок,#F0DB7D,240,219,125,49.04347826086956,0.479166666666667,0.941176470588235,781
Yukon Gold,Юкон Голд,#7B6608,123,102,8,49.04347826086956,0.934959349593496,0.482352941176471,782
Heathered Grey,Меланжевый серый,#B6B095,182,176,149,49.09090909090908,0.181318681318681,0.713725490196078,783
Woodrush,Вудраш,#302A0F,48,42,15,49.090909090909086,0.6875,0.188235294117647,784
Double Pearl Lusta,Двойная жемчужина Луста,#FCF4D0,252,244,208,49.0909090909091,0.174603174603175,0.988235294117647,785
Buff,Бафф,#F0DC82,240,220,130,49.0909090909091,0.458333333333333,0.941176470588235,786
Bronze Olive,Бронзовый Оливковый,#4E420C,78,66,12,49.0909090909091,0.846153846153846,0.305882352941176,787
Quarter Pearl Lusta,Четверть Перл Луста,#FFFDF4,255,253,244,49.09090909090912,0.0431372549019607,1,788
Chino,Чино,#CEC7A7,206,199,167,49.230769230769226,0.189320388349515,0.807843137254902,789
Gold Tips,Золотые советы,#DEBA13,222,186,19,49.35960591133005,0.914414414414414,0.870588235294118,790
Corn,Кукуруза,#E7BF05,231,191,5,49.38053097345132,0.978354978354978,0.905882352941176,791
Ash,Пепел,#C6C3B5,198,195,181,49.41176470588229,0.0858585858585858,0.776470588235294,792
Island Spice,Остров специй,#FFFCEE,255,252,238,49.41176470588239,0.0666666666666666,1,793
Old gold,Старое золото,#CFB53B,207,181,59,49.45945945945947,0.714975845410628,0.811764705882353,794
Shandy,Шенди,#FFE670,255,230,112,49.51048951048951,0.56078431372549,1,795
Buddha Gold,Будда Золотой,#C1A004,193,160,4,49.52380952380953,0.979274611398964,0.756862745098039,796
Energy Yellow,Энергия желтого цвета,#F8DD5C,248,221,92,49.61538461538462,0.629032258064516,0.972549019607843,797
Gargoyle Gas,Газовая горгулья,#FFDF46,255,223,70,49.62162162162162,0.725490196078431,1,798
Sapling,Саженец,#DED4A4,222,212,164,49.65517241379311,0.261261261261261,0.870588235294118,799
Vis Vis,Вис Вис,#FFEFA1,255,239,161,49.7872340425532,0.368627450980392,1,800
Kournikova,Курникова,#FFE772,255,231,114,49.7872340425532,0.552941176470588,1,801
Double Colonial White,Двойной колониальный белый,#EEE3AD,238,227,173,49.84615384615383,0.273109243697479,0.933333333333333,802
Sandwisp,Сэндвисп,#F5E7A2,245,231,162,49.87951807228914,0.338775510204082,0.96078431372549,803
Christmas gold,Рождественское золото,#CAA906,202,169,6,49.89795918367346,0.97029702970297,0.792156862745098,804
Clay Creek,Клей-Крик,#8A8360,138,131,96,49.99999999999999,0.304347826086956,0.541176470588235,805
Half Colonial White,Наполовину колониальный белый,#FDF6D3,253,246,211,50.0,0.16600790513834,0.992156862745098,806
Blond,Блондинка,#FAF0BE,250,240,190,50.000000000000014,0.24,0.980392156862745,807
Flax,Лен,#EEDC82,238,220,130,50.000000000000014,0.453781512605042,0.933333333333333,808
Alabaster[citation needed],Алебастр[нужна ссылка],#F2F0E6,242,240,230,50.00000000000002,0.049586776859504,0.949019607843137,809
Wheatfield,Пшеничное поле,#F3EDCF,243,237,207,50.00000000000004,0.148148148148148,0.952941176470588,810
Titanium,Титан,#878681,135,134,129,50.00000000000005,0.0444444444444444,0.529411764705882,811
Orchid White,Орхидея белая,#FFFDF3,255,253,243,50.00000000000005,0.0470588235294118,1,812
Yellow (Crayola),Желтый (Crayola),#FCE883,252,232,131,50.08264462809917,0.48015873015873,0.988235294117647,813
Vegas gold,Вегас золото,#C5B358,197,179,88,50.09174311926605,0.553299492385787,0.772549019607843,814
Chenin,Шенин,#DFCD6F,223,205,111,50.35714285714287,0.502242152466368,0.874509803921569,815
Granite Green,Гранит Грин,#8D8974,141,137,116,50.39999999999998,0.177304964539007,0.552941176470588,816
Gold (web) (Golden),Золото (веб) (Золотой),#FFD700,255,215,0,50.588235294117645,1,1,817
Mustard,Горчица,#74640D,116,100,13,50.67961165048544,0.887931034482759,0.454901960784314,818
Sweet Corn,Сладкая кукуруза,#FBEA8C,251,234,140,50.810810810810814,0.442231075697211,0.984313725490196,819
School bus yellow,Школьный автобус желтый,#FFD800,255,216,0,50.8235294117647,1,1,820
Light gold,Светло-золотой,#B29700,178,151,0,50.89887640449439,1,0.698039215686274,821
Banana yellow,Банановый желтый,#FFE135,255,225,53,51.089108910891085,0.792156862745098,1,822
Tacha,Тача,#D6C562,214,197,98,51.20689655172414,0.542056074766355,0.83921568627451,823
Yellow (Munsell),Желтый (Манселл),#EFCC00,239,204,0,51.21338912133891,1,0.937254901960784,824
Gurkha,Гуркха,#9A9577,154,149,119,51.42857142857146,0.227272727272727,0.603921568627451,825
Fuscous Grey,Темно-серый,#54534D,84,83,77,51.428571428571466,0.0833333333333333,0.329411764705882,826
Sizzling Sunrise,Жаркий восход солнца,#FFDB00,255,219,0,51.52941176470588,1,1,827
Spanish bistre,испанский бистр,#807532,128,117,50,51.53846153846153,0.609375,0.501960784313725,828
Dark yellow,Темно-желтый,#9B870C,155,135,12,51.60839160839161,0.92258064516129,0.607843137254902,829
Go Ben,"Иди, Бен",#726D4E,114,109,78,51.66666666666664,0.315789473684211,0.447058823529412,830
Golden Dream,Золотая Мечта,#F0D52D,240,213,45,51.6923076923077,0.8125,0.941176470588235,831
Sprint Yellow,Спринт желтый,#FFDD05,255,221,5,51.84,0.980392156862745,1,832
Sandstorm,Песчаная буря,#ECD540,236,213,64,51.97674418604652,0.728813559322034,0.925490196078431,833
Flavescent,Желтеющий,#F7E98E,247,233,142,51.99999999999999,0.425101214574899,0.968627450980392,834
Taupe Grey,Серо-коричневый,#B3AF95,179,175,149,52.00000000000003,0.167597765363128,0.701960784313725,835
Wild Rice,Дикий рис,#ECE090,236,224,144,52.17391304347825,0.389830508474576,0.925490196078431,836
Brass,Латунь,#B5A642,181,166,66,52.173913043478265,0.635359116022099,0.709803921568627,837
Lemon,Лимон,#F4D81C,244,216,28,52.22222222222222,0.885245901639344,0.956862745098039,838
Dirty white,Грязно-белый,#E8E4C9,232,228,201,52.25806451612905,0.133620689655172,0.909803921568627,839
Sahara,Сахара,#B7A214,183,162,20,52.26993865030675,0.890710382513661,0.717647058823529,840
Minion yellow,Миньон желтый,#F5E050,245,224,80,52.36363636363636,0.673469387755102,0.96078431372549,841
Portica,Портика,#F9E663,249,230,99,52.400000000000006,0.602409638554217,0.976470588235294,842
Festival,Фестиваль,#FBE96C,251,233,108,52.44755244755245,0.569721115537849,0.984313725490196,843
Confetti,Конфетти,#E9D75A,233,215,90,52.44755244755245,0.613733905579399,0.913725490196078,844
Antique bronze,Античная бронза,#665D1E,102,93,30,52.49999999999999,0.705882352941176,0.4,845
Picasso,Пикассо,#FFF39D,255,243,157,52.65306122448978,0.384313725490196,1,846
Yellow (Pantone),Желтый (Pantone),#FEDF00,254,223,0,52.67716535433071,1,0.996078431372549,847
Safety yellow,Безопасность желтый,#EED202,238,210,2,52.88135593220339,0.991596638655462,0.933333333333333,848
Orange White,Оранжевый Белый,#FEFCED,254,252,237,52.94117647058826,0.0669291338582677,0.996078431372549,849
Turmeric,Куркума,#CABB48,202,187,72,53.07692307692308,0.643564356435644,0.792156862745098,850
Scotch Mist,Шотландский туман,#FFFBDC,255,251,220,53.14285714285711,0.137254901960784,1,851
Earls Green,Эрлс Грин,#C9B93B,201,185,59,53.23943661971831,0.706467661691542,0.788235294117647,852
Bianca,Бьянка,#FCFBF3,252,251,243,53.33333333333318,0.0357142857142858,0.988235294117647,853
Black White,Черный Белый,#FFFEF6,255,254,246,53.33333333333336,0.0352941176470588,1,854
Linen,Шерсть,#E6E4D4,230,228,212,53.33333333333336,0.0782608695652173,0.901960784313726,855
Vivid yellow,Яркий желтый,#FFE302,255,227,2,53.359683794466406,0.992156862745098,1,856
Lucky,Удачливый,#AF9F1C,175,159,28,53.46938775510204,0.84,0.686274509803922,857
Misty moss,Туманный мох,#BBB477,187,180,119,53.82352941176472,0.363636363636364,0.733333333333333,858
Lemon Ginger,Лимонный имбирь,#AC9E22,172,158,34,53.91304347826087,0.802325581395349,0.674509803921569,859
Lemon chiffon,Лимонный шифон,#FFFACD,255,250,205,53.99999999999999,0.196078431372549,1,860
Old moss green,Старый мох зеленый,#867E36,134,126,54,54.0,0.597014925373134,0.525490196078431,861
Straw,Солома,#E4D96F,228,217,111,54.35897435897435,0.513157894736842,0.894117647058824,862
Citrine,Цитрин,#E4D00A,228,208,10,54.49541284403669,0.956140350877193,0.894117647058824,863
White Rock,Белая скала,#EAE8D4,234,232,212,54.54545454545456,0.0940170940170939,0.917647058823529,864
Pale goldenrod,Золотарник бледный,#EEE8AA,238,232,170,54.70588235294117,0.285714285714286,0.933333333333333,865
Travertine,Травертин,#FFFDE8,255,253,232,54.782608695652186,0.0901960784313725,1,866
Green-yellow (Crayola),Зелёно-жёлтый (Crayola),#F0E891,240,232,145,54.94736842105263,0.395833333333333,0.941176470588235,867
Citrine White,Цитриновый белый,#FAF7D6,250,247,214,55.000000000000014,0.144,0.980392156862745,868
Sunflower,Подсолнух,#E4D422,228,212,34,55.05154639175258,0.850877192982456,0.894117647058824,869
Broom,Метла,#FFEC13,255,236,19,55.16949152542372,0.925490196078431,1,870
Sage,Мудрец,#BCB88A,188,184,138,55.19999999999999,0.265957446808511,0.737254901960784,871
Turbo,Турбо,#FAE600,250,230,0,55.2,1,0.980392156862745,872
Chilean Heath,Чилийская пустошь,#FFFDE6,255,253,230,55.20000000000002,0.0980392156862745,1,873
Gorse,Дрок,#FFF14F,255,241,79,55.22727272727273,0.690196078431373,1,874
Middle yellow,Средний желтый,#FFEB00,255,235,0,55.29411764705882,1,1,875
Dandelion,Одуванчик,#F0E130,240,225,48,55.3125,0.8,0.941176470588235,876
Thatch Green,Зеленый соломенный,#403D19,64,61,25,55.38461538461539,0.609375,0.250980392156863,877
Paris Daisy,Парижская Дэйзи,#FFF46E,255,244,110,55.44827586206897,0.568627450980392,1,878
Drover,Дровэр,#FDF7AD,253,247,173,55.49999999999999,0.316205533596838,0.992156862745098,879
Dark khaki,Темный хаки,#BDB76B,189,183,107,55.60975609756097,0.433862433862434,0.741176470588235,880
Camouflage,Камуфляж,#3C3910,60,57,16,55.90909090909091,0.733333333333333,0.235294117647059,881
Rice Cake,Рисовый пирог,#FFFEF0,255,254,240,56.000000000000014,0.0588235294117647,1,882
Winter Hazel,Зимний орешник,#D5D195,213,209,149,56.24999999999999,0.300469483568075,0.835294117647059,883
Mint Julep,Мятный джулеп,#F1EEC1,241,238,193,56.25000000000001,0.199170124481328,0.945098039215686,884
Lemon yellow,Лимонно-желтый,#FFF44F,255,244,79,56.25000000000001,0.690196078431373,1,885
Aureolin,Ауреолин,#FDEE00,253,238,0,56.44268774703557,1,0.992156862745098,886
Yellow rose,Желтая роза,#FFF000,255,240,0,56.47058823529412,1,1,887
Thistle,Чертополох,#CCCAA8,204,202,168,56.66666666666663,0.176470588235294,0.8,888
Apricot White,Абрикосовый Белый,#FFFEEC,255,254,236,56.842105263157904,0.0745098039215685,1,889
Dodie yellow,Доди желтый,#FEF65B,254,246,91,57.055214723926376,0.641732283464567,0.996078431372549,890
Rum Swizzle,Ромовый коктейль,#F9F8E4,249,248,228,57.14285714285715,0.0843373493975902,0.976470588235294,891
Foggy Grey,Туманно-серый,#CBCAB6,203,202,182,57.14285714285715,0.103448275862069,0.796078431372549,892
Bandicoot,Бандикут,#858470,133,132,112,57.14285714285715,0.157894736842105,0.52156862745098,893
Christmas yellow,Рождественский желтый,#FEF200,254,242,0,57.16535433070867,1,0.996078431372549,894
Kokoda,Кокода,#6E6D57,110,109,87,57.39130434782607,0.209090909090909,0.431372549019608,895
Cream,Кремовый,#FFFDD0,255,253,208,57.44680851063831,0.184313725490196,1,896
Gimblet,Гимблэт,#B8B56A,184,181,106,57.6923076923077,0.423913043478261,0.72156862745098,897
Bird Flower,Птичий цветок,#D4CD16,212,205,22,57.78947368421053,0.89622641509434,0.831372549019608,898
Primrose,Примула,#EDEA99,237,234,153,57.85714285714284,0.354430379746835,0.929411764705882,899
Coconut Cream,Кокосовый крем,#F8F7DC,248,247,220,57.85714285714286,0.112903225806451,0.972549019607843,900
Cadmium yellow,Кадмий желтый,#FFF600,255,246,0,57.88235294117648,1,1,901
Barberry,Барбарис,#DED717,222,215,23,57.88944723618091,0.896396396396396,0.870588235294118,902
Titanium yellow,Титановый желтый,#EEE600,238,230,0,57.98319327731093,1,0.933333333333333,903
Wattle,Уоттл,#DCD747,220,215,71,57.98657718120805,0.677272727272727,0.862745098039216,904
Aths Special,Атс Специальный,#ECEBCE,236,235,206,57.99999999999996,0.127118644067797,0.925490196078431,905
Half and Half,Половина на половину,#FFFEE1,255,254,225,58.00000000000001,0.117647058823529,1,906
Icterine,Иктерин,#FCF75E,252,247,94,58.10126582278481,0.626984126984127,0.988235294117647,907
Olivetone,Оливковый,#716E10,113,110,16,58.14432989690722,0.858407079646018,0.443137254901961,908
Hemlock,Болиголов,#5E5D3B,94,93,59,58.28571428571427,0.372340425531915,0.368627450980392,909
Bronze yellow,Бронзово-желтый,#737000,115,112,0,58.43478260869565,1,0.450980392156863,910
Pomelo Olive,Оливки помело,#BFBD70,191,189,112,58.481012658227854,0.413612565445026,0.749019607843137,911
Olive green,Оливково-зеленый,#B5B35C,181,179,92,58.65168539325841,0.49171270718232,0.709803921568627,912
Peridot,Перидот,#E6E200,230,226,0,58.95652173913043,1,0.901960784313726,913
Desert Storm,Буря в пустыне,#F8F8F7,248,248,247,60.0,0.0040322580645161,0.972549019607843,914
Storm Dust,Штормовая пыль,#646463,100,100,99,60.0,0.0099999999999999,0.392156862745098,915
Baby powder,Детская присыпка,#FEFEFA,254,254,250,60.0,0.015748031496063,0.996078431372549,916
Star Dust,Звездная Пыль,#9F9F9C,159,159,156,60.0,0.0188679245283018,0.623529411764706,917
Quill Grey,Перо серое,#D6D6D1,214,214,209,60.0,0.0233644859813084,0.83921568627451,918
Cararra,Каррара,#EEEEE8,238,238,232,60.0,0.0252100840336134,0.933333333333333,919
Grey Nickel,Серый никель,#C3C3BD,195,195,189,60.0,0.0307692307692306,0.764705882352941,920
Mist Grey,Туманно-серый,#C4C4BC,196,196,188,60.0,0.0408163265306122,0.768627450980392,921
Delta,Дельта,#A4A49D,164,164,157,60.0,0.0426829268292683,0.643137254901961,922
Pastel gray,Пастельно-серый,#CFCFC4,207,207,196,60.0,0.0531400966183574,0.811764705882353,923
Ivory,Слоновая кость,#FFFFF0,255,255,240,60.0,0.0588235294117647,1,924
Beige,Бежевый,#F5F5DC,245,245,220,60.0,0.102040816326531,0.96078431372549,925
Light yellow,светло-желтый,#FFFFE0,255,255,224,60.0,0.12156862745098,1,926
Light goldenrod yellow,Светло-желтый золотарник,#FAFAD2,250,250,210,60.0,0.16,0.980392156862745,927
Conditioner,Кондиционер,#FFFFCC,255,255,204,60.0,0.2,1,928
Very pale yellow,Очень бледно-желтый,#FFFFBF,255,255,191,60.0,0.250980392156863,1,929
Portafino,Портафино,#FFFFB4,255,255,180,60.0,0.294117647058823,1,930
Lemon yellow (Crayola),Лимонно-желтый (Crayola),#FFFF9F,255,255,159,60.0,0.376470588235294,1,931
Canary,Канарские,#FFFF99,255,255,153,60.0,0.4,1,932
Pastel yellow,Пастельно-желтый,#FDFD96,253,253,150,60.0,0.407114624505929,0.992156862745098,933
Sunny,Солнечно,#F2F27A,242,242,122,60.0,0.495867768595041,0.949019607843137,934
Mustard green,горчично-зеленый,#6E6E30,110,110,48,60.0,0.563636363636364,0.431372549019608,935
Maximum yellow,Максимально желтый,#FAFA37,250,250,55,60.0,0.78,0.980392156862745,936
Yellow (RYB),Желтый (RYB),#FEFE33,254,254,51,60.0,0.799212598425197,0.996078431372549,937
Electric yellow,Электрический желтый,#FFFF33,255,255,51,60.0,0.8,1,938
Daffodil,Нарцисс,#FFFF31,255,255,49,60.0,0.807843137254902,1,939
Yellow,Желтый,#FFFF00,255,255,0,60.0,1,1,940
Lemon glacier,Лимонный ледник,#FDFF00,253,255,0,60.47058823529412,1,1,941
Manz,Манц,#EEEF78,238,239,120,60.50420168067227,0.497907949790795,0.937254901960784,942
Texas,Техас,#F8F99C,248,249,156,60.64516129032258,0.373493975903614,0.976470588235294,943
Pale Prim,Бледно-примитивный,#FDFEB8,253,254,184,60.85714285714285,0.275590551181102,0.996078431372549,944
Verdigris,Ярь-медянка,#5D5E37,93,94,55,61.53846153846156,0.414893617021277,0.368627450980392,945
Golden Fizz,Золотой шипучий напиток,#F5FB3D,245,251,61,61.89473684210527,0.756972111553785,0.984313725490196,946
Calamansi,Каламанси,#FCFFA4,252,255,164,61.97802197802197,0.356862745098039,1,947
Starship,Звездолет,#ECF245,236,242,69,62.080924855491325,0.714876033057851,0.949019607843137,948
Bored accent green,Скучный акцентный зеленый,#DDE26A,221,226,106,62.49999999999999,0.530973451327434,0.886274509803922,949
Corn Field,Кукурузное поле,#F8FACD,248,250,205,62.66666666666666,0.18,0.980392156862745,950
Cumulus,Кучевые облака,#FDFFD5,253,255,213,62.85714285714285,0.164705882352941,1,951
Tahuna Sands,Пески Тахуна,#EEF0C8,238,240,200,62.99999999999999,0.166666666666667,0.941176470588235,952
Dolly,Долли,#F9FF8B,249,255,139,63.10344827586208,0.454901960784314,1,953
Canary,Канарские,#F3FB62,243,251,98,63.13725490196077,0.609561752988048,0.984313725490196,954
Milan,Милан,#FAFFA4,250,255,164,63.29670329670331,0.356862745098039,1,955
Moon Glow,Лунное сияние,#FCFEDA,252,254,218,63.33333333333332,0.141732283464567,0.996078431372549,956
Shalimar,Шалимар,#FBFFBA,251,255,186,63.47826086956523,0.270588235294118,1,957
Moon Mist,Лунный туман,#DCDDCC,220,221,204,63.52941176470587,0.0769230769230769,0.866666666666667,958
Lime,Лайм,#BFC921,191,201,33,63.57142857142856,0.835820895522388,0.788235294117647,959
Crete,Крит,#737829,115,120,41,63.79746835443037,0.658333333333333,0.470588235294118,960
Citron,Цитрон,#9FA91F,159,169,31,64.34782608695652,0.816568047337278,0.662745098039216,961
La Rioja,Ла-Риоха,#B3C110,179,193,16,64.7457627118644,0.917098445595855,0.756862745098039,962
Citron,Цитрон,#9EA91F,158,169,31,64.78260869565217,0.816568047337278,0.662745098039216,963
Saratoga,Саратога,#555B10,85,91,16,64.80000000000001,0.824175824175824,0.356862745098039,964
Maximum green yellow,Максимум зеленый желтый,#D9E650,217,230,80,65.20000000000002,0.652173913043478,0.901960784313726,965
Chinese green,Китайский зеленый,#D0DB61,208,219,97,65.40983606557376,0.557077625570776,0.858823529411765,966
Acid green,Кислотно-зеленый,#B0BF1A,176,191,26,65.45454545454545,0.863874345549738,0.749019607843137,967
Pear,Груша,#D1E231,209,226,49,65.76271186440678,0.783185840707965,0.886274509803922,968
Pine Glade,Сосновая поляна,#C7CD90,199,205,144,65.90163934426229,0.297560975609756,0.803921568627451,969
Celery,Сельдерей,#B8C25D,184,194,93,65.94059405940595,0.520618556701031,0.76078431372549,970
Tusk,Туск,#EEF3C3,238,243,195,66.24999999999997,0.197530864197531,0.952941176470588,971
Rio Grande,Рио-Гранде,#BBD009,187,208,9,66.33165829145727,0.956730769230769,0.815686274509804,972
Trendy Green,Модный зеленый,#7C881A,124,136,26,66.54545454545453,0.808823529411765,0.533333333333333,973
Tana,Тана,#D9DCC1,217,220,193,66.6666666666667,0.122727272727273,0.862745098039216,974
Key lime,лайм,#E8F48C,232,244,140,66.92307692307692,0.426229508196721,0.956862745098039,975
Mimosa,Мимоза,#F8FDD3,248,253,211,67.14285714285714,0.16600790513834,0.992156862745098,976
Deco,Деко,#D2DA97,210,218,151,67.16417910447761,0.307339449541284,0.854901960784314,977
Hint of Yellow,Оттенок желтого,#FAFDE4,250,253,228,67.20000000000003,0.0988142292490118,0.992156862745098,978
Wild Willow,Дикая ива,#B9C46A,185,196,106,67.33333333333333,0.459183673469388,0.768627450980392,979
Celeste,Селеста,#D1D2CA,209,210,202,67.49999999999997,0.0380952380952381,0.823529411764706,980
Honeysuckle,Жимолость,#EDFC84,237,252,132,67.5,0.476190476190476,0.988235294117647,981
Chartreuse (traditional),Шартрез (традиционный),#DFFF00,223,255,0,67.52941176470588,1,1,982
Waiouru,Вайору,#363C0D,54,60,13,67.65957446808511,0.783333333333333,0.235294117647059,983
Soldier Green,Солдат Грин,#545A2C,84,90,44,67.82608695652175,0.511111111111111,0.352941176470588,984
Verdun Green,Верден Грин,#495400,73,84,0,67.85714285714286,1,0.329411764705882,985
Finch,Финч,#626649,98,102,73,68.27586206896551,0.284313725490196,0.4,986
Woodland,Лесная местность,#4D5328,77,83,40,68.37209302325583,0.518072289156627,0.325490196078431,987
Bitter,Горький,#868974,134,137,116,68.57142857142854,0.153284671532847,0.537254901960784,988
Pomelo,Помело,#96A53C,150,165,60,68.57142857142857,0.636363636363636,0.647058823529412,989
Las Palmas,Лас-Пальмас,#C6E610,198,230,16,68.97196261682242,0.930434782608696,0.901960784313726,990
Fuego,Fuego,#BEDE0D,190,222,13,69.18660287081339,0.941441441441441,0.870588235294118,991
Australian Mint,Австралийский монетный двор,#F5FFBE,245,255,190,69.23076923076923,0.254901960784314,1,992
Army green,Армейский зеленый,#4B5320,75,83,32,69.41176470588235,0.614457831325301,0.325490196078431,993
Black olive,Черная олива,#3B3C36,59,60,54,69.99999999999996,0.1,0.235294117647059,994
Jonquil,Жонкиль,#EEFF9A,238,255,154,70.09900990099011,0.396078431372549,1,995
Green Smoke,Зеленый дым,#A4AF6E,164,175,110,70.15384615384615,0.371428571428571,0.686274509803922,996
Tidal,Приливной,#F1FFAD,241,255,173,70.2439024390244,0.32156862745098,1,997
Wasabi,Васаби,#788A25,120,138,37,70.6930693069307,0.731884057971014,0.541176470588235,998
Kangaroo,Кенгуру,#C6C8BD,198,200,189,70.90909090909088,0.0549999999999999,0.784313725490196,999
Eagle,Орел,#B6BAA4,182,186,164,70.90909090909088,0.118279569892473,0.729411764705882,1000
Rangoon Green,Рангун Грин,#1C1E13,28,30,19,70.90909090909089,0.366666666666667,0.117647058823529,1001
Beryl Green,Берилловый зеленый,#DEE5C0,222,229,192,71.35135135135134,0.161572052401747,0.898039215686275,1002
Volt,Вольт,#CEFF00,206,255,0,71.5294117647059,1,1,1003
Citrus,Цитрусовые,#A1C50A,161,197,10,71.55080213903743,0.949238578680203,0.772549019607843,1004
Mindaro,Миндаро,#E3F988,227,249,136,71.68141592920352,0.453815261044177,0.976470588235294,1005
Bahia,Баия,#A5CB0C,165,203,12,71.9371727748691,0.940886699507389,0.796078431372549,1006
Milk,Молоко,#FDFFF5,253,255,245,71.99999999999996,0.0392156862745097,1,1007
Middle green yellow,Средний зеленый желтый,#ACBF60,172,191,96,71.99999999999999,0.49738219895288,0.749019607843137,1008
Arctic lime,арктический лайм,#D0FF14,208,255,20,72.00000000000001,0.92156862745098,1,1009
Lemon Grass,Лимонная трава,#9B9E8F,155,158,143,72.00000000000006,0.0949367088607595,0.619607843137255,1010
Orinoco,Ориноко,#F3FBD4,243,251,212,72.30769230769232,0.155378486055777,0.984313725490196,1011
Locust,Саранча,#A8AF8E,168,175,142,72.72727272727275,0.188571428571429,0.686274509803922,1012
Pomelo White,Помело Белый,#F9FFE3,249,255,227,72.85714285714286,0.109803921568628,1,1013
June bud,июньский бутон,#BDDA57,189,218,87,73.28244274809158,0.600917431192661,0.854901960784314,1014
Medium spring bud,Средний весенний бутон,#C9DC87,201,220,135,73.41176470588236,0.386363636363636,0.862745098039216,1015
Apple green,Зелёное яблоко,#8DB600,141,182,0,73.51648351648352,1,0.713725490196078,1016
Green Mist,Зеленый туман,#CBD3B0,203,211,176,73.71428571428572,0.165876777251185,0.827450980392157,1017
